OBS! Du kan bara ladda ned data mellan 010101 och 141231!!!;;;;;;;
;;;;;;;
Luftkvalitet dygnsdatabas;;;;;;;
Kväveoxider, NO+NO2 (mikrogram/m3).;;;;;;;
Datum;Kl;Essingeleden (ug/m3);Hornsgatan (ug/m3);Sveavägen (ug/m3);Norrlandsgatan (ug/m3);Torkel Knutssonsgatan (ug/m3);Norr Malma (ug/m3)
2006-01-01;00:00;77.17;138.9;53.8;43.27;29.07;9.937
2006-01-02;00:00;171.1;246.7;140;90.73;68.18;20.31
2006-01-03;00:00;208.6;231.7;131.5;120;51.49;
2006-01-04;00:00;295.9;264.8;96.96;97.15;81.41;
2006-01-05;00:00;215.6;165.1;76.06;62.64;36.4;
2006-01-06;00:00;46.07;89.46;20.19;41.24;14.38;
2006-01-07;00:00;123.2;189.7;59.71;53.95;39.79;
2006-01-08;00:00;48.83;113.9;52.35;;9.345;
2006-01-09;00:00;126.8;165.6;98.23;;30.29;13.33
2006-01-10;00:00;;81.98;103.1;97.15;29.77;19.79
2006-01-11;00:00;;74.91;95.28;105.9;33.79;34.99
2006-01-12;00:00;94.75;109.8;85.91;66.61;13.59;4.389
2006-01-13;00:00;81.98;102.5;84.11;86.03;13.75;6.993
2006-01-14;00:00;38.19;84.99;68.54;82.19;16.13;8.144
2006-01-15;00:00;55.59;103;64.23;64.69;13.16;6.614
2006-01-16;00:00;95.89;72.52;107.9;93.02;17.34;8.378
2006-01-17;00:00;150.8;;54.01;62.64;17.49;8.497
2006-01-18;00:00;28.28;;19.53;25.82;13.04;3.291
2006-01-19;00:00;86.03;53.4;25.69;33.06;12.83;4.216
2006-01-20;00:00;119.4;22.62;31.75;40.74;16.46;2.822
2006-01-21;00:00;35.66;48.14;17.36;21.88;15.13;2.145
2006-01-22;00:00;139.6;180.8;107.4;85.22;46.35;8.08
2006-01-23;00:00;71.49;92.36;100;146.8;29.85;8.919
2006-01-24;00:00;82.69;82.58;92.55;;26.22;8.497
2006-01-25;00:00;164.8;140.7;92.57;130.1;32.56;5.38
2006-01-26;00:00;216.3;184.5;108.1;168;32.87;5.775
2006-01-27;00:00;222.2;215.1;156.5;222.2;43.89;4.265
2006-01-28;00:00;71.85;139.1;74.14;94.92;16.3;4.701
2006-01-29;00:00;51.73;101.8;51.38;54.5;12.35;3.698
2006-01-30;00:00;131;141.1;78.91;119.2;22.95;2.759
2006-01-31;00:00;173.4;188.4;100.6;125.9;24.4;3.605
2006-02-01;00:00;137;164;97.57;122.6;23.54;3.273
2006-02-02;00:00;195.7;194;95.83;132.4;29.78;4.576
2006-02-03;00:00;131.3;134.4;40.43;79.29;22.05;6.952
2006-02-04;00:00;67.99;94.24;33.35;52.98;18.69;4.387
2006-02-05;00:00;142.7;161.8;53.24;55.86;35.35;5.94
2006-02-06;00:00;187.4;111.7;124.5;132.2;42.31;14
2006-02-07;00:00;129.7;48.03;33.37;59.52;18.95;7.587
2006-02-08;00:00;191.7;38.79;50.59;108.9;22.54;11.9
2006-02-09;00:00;57.63;144;35.12;79.16;25.02;10.29
2006-02-10;00:00;177.9;171;80.74;160.2;27.43;4.705
2006-02-11;00:00;74.98;140.5;89.44;108.2;15.67;6.219
2006-02-12;00:00;70.38;115.6;92.44;89.47;18.83;11.74
2006-02-13;00:00;180.4;166.3;125.4;173.2;31.97;10.58
2006-02-14;00:00;237.6;217.1;100.9;120.8;51.66;4.372
2006-02-15;00:00;173.3;34.72;92.04;114.3;13.87;4.043
2006-02-16;00:00;147.2;24.53;35.16;59.72;13.91;4.117
2006-02-17;00:00;45.93;60.98;;47.76;17.69;5.334
2006-02-18;00:00;44.35;84.17;;55.29;20.85;7.642
2006-02-19;00:00;39.84;85.72;;57.74;15.48;7.892
2006-02-20;00:00;109.5;140.5;28.18;75.21;19.26;5.72
2006-02-21;00:00;144.8;141.8;47.8;87.17;20.76;3.759
2006-02-22;00:00;157.6;155.9;106.3;153;30.57;4.085
2006-02-23;00:00;81.74;153.6;40.93;88.14;24.52;8.599
2006-02-24;00:00;143.2;228.5;140;191.7;65.49;8.86
2006-02-25;00:00;53.05;100.9;45.96;76.25;14.05;2.468
2006-02-26;00:00;48.08;95.16;44.3;53.47;9.978;2.482
2006-02-27;00:00;144.7;154.6;97.12;176.8;27.95;5.867
2006-02-28;00:00;99.09;93.53;112.8;133.1;24.35;11.79
2006-03-01;00:00;147.8;32.61;49.08;88.54;17.09;5.383
2006-03-02;00:00;50.59;96.58;25.64;51.76;21.27;9.215
2006-03-03;00:00;87;108.3;28.2;65.28;20.87;7.057
2006-03-04;00:00;45.03;105.9;37.36;81.23;22.94;8.913
2006-03-05;00:00;84.51;112.9;68.06;87.93;21.53;5.88
2006-03-06;00:00;150.9;152.6;81.48;120.1;26.54;4.234
2006-03-07;00:00;191.3;222.9;131.7;194.2;50.81;7.259
2006-03-08;00:00;149.2;180.5;109.8;166.2;30.09;8.402
2006-03-09;00:00;161.2;182.1;64.54;110.6;30.58;5.222
2006-03-10;00:00;131.7;165.7;46.11;107;30.44;6.788
2006-03-11;00:00;59.02;118;27.6;55.38;21.7;5.712
2006-03-12;00:00;42.69;85.24;15.51;37.59;13.73;4.73
2006-03-13;00:00;170.9;185.9;43.37;100.6;33.9;5.297
2006-03-14;00:00;108.5;135.5;40.88;82.61;29.28;11.81
2006-03-15;00:00;79.93;146.7;;83.33;23.62;11.11
2006-03-16;00:00;90.91;143.8;32.63;99.75;23.27;7.042
2006-03-17;00:00;218.2;240.1;91.2;128.3;36.63;6.506
2006-03-18;00:00;53.49;116.8;85.72;147.3;15.88;5.415
2006-03-19;00:00;34.89;71.13;35.73;65.41;7.895;2.007
2006-03-20;00:00;159.5;149.2;78.41;120.7;26.31;3.027
2006-03-21;00:00;187;207.2;123.4;129.5;45.53;6.66
2006-03-22;00:00;150.1;199.7;115;147.7;37.93;10.28
2006-03-23;00:00;159.6;205.7;143.5;142.6;41.54;9.867
2006-03-24;00:00;138.8;198.3;126.1;136.8;40.44;8.893
2006-03-25;00:00;73.92;153.2;88.62;114.6;18.29;3.634
2006-03-26;00:00;93.23;130.7;82.11;100.4;22.84;5.498
2006-03-27;00:00;131.7;30.7;44.74;67.2;17.08;6.855
2006-03-28;00:00;164.8;251.7;170.9;177;69.79;8.078
2006-03-29;00:00;103;200.3;140.1;145.4;38.39;7.555
2006-03-30;00:00;91.44;155.9;90.91;108.1;22.7;6.148
2006-03-31;00:00;44.29;121.4;27.04;59.35;17.45;4.937
2006-04-01;00:00;48.96;108.3;54.52;68.49;12.61;3.467
2006-04-02;00:00;69.4;70.58;53.53;82.45;17.13;
2006-04-03;00:00;136.6;192.2;82.34;119.3;41.5;
2006-04-04;00:00;130.9;165.2;101.8;96.37;22.05;
2006-04-05;00:00;158.5;182.8;63.58;74.8;19.17;
2006-04-06;00:00;96.27;137.4;;119.1;23.85;
2006-04-07;00:00;69.67;124.9;;143.6;16.06;
2006-04-08;00:00;54.91;46.03;64.06;77.15;9.23;
2006-04-09;00:00;47.55;47.8;43.48;57.35;7.35;5.816
2006-04-10;00:00;129.1;167.4;77.06;97.42;20.65;5.185
2006-04-11;00:00;135.3;181.5;99.98;133;20.92;5.744
2006-04-12;00:00;100.1;154.7;133.1;122.2;25.51;12.4
2006-04-13;00:00;88.07;52.05;87.78;80.53;13.96;7.003
2006-04-14;00:00;51.99;58.23;37.79;89.7;12.19;7.916
2006-04-15;00:00;31.37;93.92;45.1;62.19;7.294;4.787
2006-04-16;00:00;22.83;65.68;40.78;57.13;5.445;3.775
2006-04-17;00:00;31.37;75.16;37.96;52.74;6.187;3.896
2006-04-18;00:00;59.18;85.79;82.01;95.64;15.86;3.825
2006-04-19;00:00;90.09;144.5;80.59;98.19;15.09;3.232
2006-04-20;00:00;100.8;112.4;92.4;96.12;20.61;5.041
2006-04-21;00:00;111.3;147.3;91.07;93.4;18.88;2.936
2006-04-22;00:00;55.38;134;76.82;102.4;17.55;3.881
2006-04-23;00:00;40.94;58.64;54.03;69.05;7.752;5.278
2006-04-24;00:00;78.66;95.9;51.79;92.79;22.2;7.533
2006-04-25;00:00;66.33;101.7;60.92;60.34;18.8;8.355
2006-04-26;00:00;93.12;96.37;74.26;86.77;18.02;6.15
2006-04-27;00:00;113.4;110.2;104.2;107.6;24.58;8.857
2006-04-28;00:00;141.6;184.2;67.08;93.48;34.62;11.03
2006-04-29;00:00;34.33;104.1;26.84;48.29;22.2;11.13
2006-04-30;00:00;16.78;68.84;16.57;30.94;14.93;9.506
2006-05-01;00:00;40.24;24.05;15.92;22.78;10.85;9.336
2006-05-02;00:00;98.96;46.08;66.39;56.66;16.99;9.21
2006-05-03;00:00;98.26;68.9;77.18;77.9;17.61;8.087
2006-05-04;00:00;63.94;128.5;55.61;95.93;28.05;10.84
2006-05-05;00:00;76.48;189.6;71.94;113.5;33.9;9.175
2006-05-06;00:00;59.39;143.7;32.13;54.63;29.59;6.966
2006-05-07;00:00;52.13;112.2;22.19;;17.49;3.985
2006-05-08;00:00;108.4;160.7;51.82;;;4.636
2006-05-09;00:00;128.5;182.9;64.03;;;3.526
2006-05-10;00:00;95.69;154.7;53.49;;;4.167
2006-05-11;00:00;85.56;127.7;152.9;;;9.908
2006-05-12;00:00;88.9;159.1;122.1;;12.8;8.612
2006-05-13;00:00;24.49;96.6;56.12;;6.805;4.278
2006-05-14;00:00;40;95.5;44.88;;5.082;3.142
2006-05-15;00:00;103.6;;65.22;;;3.008
2006-05-16;00:00;87.27;141.4;43.86;;;3.557
2006-05-17;00:00;99.18;109.6;125;;16.18;5.444
2006-05-18;00:00;102.8;92.59;128.5;;19.05;7.51
2006-05-19;00:00;102.2;122;41.74;;26.65;9.358
2006-05-20;00:00;45.86;113.2;46.31;;19.07;9.171
2006-05-21;00:00;48.43;122.3;31.79;;22.34;8.579
2006-05-22;00:00;111.7;81.28;116.2;;22.82;10.37
2006-05-23;00:00;95.85;106.9;132.1;;20.08;8.404
2006-05-24;00:00;53.65;107.6;90.29;;8.85;3.414
2006-05-25;00:00;40.75;71.19;57.81;;7.931;5.488
2006-05-26;00:00;97.82;172.4;77.31;;17.87;5.393
2006-05-27;00:00;43.08;105.7;56.06;73.36;10.99;6.105
2006-05-28;00:00;60.74;125.7;48.43;77.4;16.75;7.993
2006-05-29;00:00;119.7;199.9;109.9;112.3;37.09;6.986
2006-05-30;00:00;111.2;167.8;36.67;86.89;16.46;5.833
2006-05-31;00:00;81.08;132;36.51;98.98;16.66;5.378
2006-06-01;00:00;74.11;133.3;35.19;65.86;13.11;3.829
2006-06-02;00:00;73.4;134;113.2;112.1;12.76;4.487
2006-06-03;00:00;30.88;84.82;36.31;54.28;8.018;6.596
2006-06-04;00:00;36.92;86.65;32.13;47.51;8.564;6.53
2006-06-05;00:00;53.99;89.33;22.87;44.95;9.713;3.381
2006-06-06;00:00;32.91;66.42;13.9;33.51;5.161;1.693
2006-06-07;00:00;120.7;152;129.9;134.9;20.96;2.515
2006-06-08;00:00;123;132.3;82.88;99.33;18.61;2.747
2006-06-09;00:00;81.45;121.6;87.17;128.1;30.83;4.01
2006-06-10;00:00;38.92;78.63;38.85;62.94;8.759;3.384
2006-06-11;00:00;41.66;93.48;49.89;73.78;8.805;2.505
2006-06-12;00:00;103.3;165.1;106;122.6;14.17;4.245
2006-06-13;00:00;77.58;127.4;124.5;126.5;18.63;3.362
2006-06-14;00:00;76.46;136.9;101.5;102.6;20.86;2.556
2006-06-15;00:00;106.1;139.2;73.31;83.28;12.76;2.078
2006-06-16;00:00;77.49;168.5;109.1;131.2;18.72;2.597
2006-06-17;00:00;31.96;73.33;68.55;80.98;9.257;2.529
2006-06-18;00:00;34.89;42.71;59.72;64.01;5.736;2.796
2006-06-19;00:00;82.05;61.86;89.99;108.8;15.33;
2006-06-20;00:00;97.38;50.17;106.1;91.99;11.5;
2006-06-21;00:00;85.84;91.13;;118;15.52;4.255
2006-06-22;00:00;59.9;54.58;;86.27;10.1;3.523
2006-06-23;00:00;17.62;52.58;27.72;44.31;3.4;2.476
2006-06-24;00:00;16.37;54.21;31.25;35.75;2.179;2.135
2006-06-25;00:00;26.26;54.25;37.97;48.01;2.77;3.508
2006-06-26;00:00;82.5;135.3;31.2;56.71;17.05;2.606
2006-06-27;00:00;93.85;120.4;26.68;59.06;20.91;2.899
2006-06-28;00:00;70.13;83.7;89.34;83.58;10.9;3.296
2006-06-29;00:00;101.9;78.1;75.74;85.96;11.37;2.211
2006-06-30;00:00;106.8;125.1;78.3;102.2;24.05;3.078
2006-07-01;00:00;49.78;108;61.34;103.1;14.13;2.13
2006-07-02;00:00;42.21;75.88;50.99;66.71;5.791;3.247
2006-07-03;00:00;90.54;120.6;106.3;133;15.32;3.245
2006-07-04;00:00;103.8;131.5;86.31;94.97;13.37;2.806
2006-07-05;00:00;68.41;67.4;27.9;45.19;11.13;2.975
2006-07-06;00:00;109.7;82.8;101.3;123.8;12.13;3.998
2006-07-07;00:00;102.7;;100.1;118;13.45;4.102
2006-07-08;00:00;36.61;;53.91;55.37;7.156;2.666
2006-07-09;00:00;36.08;;38.94;44.03;3.751;1.616
2006-07-10;00:00;85.94;;80.67;105.7;9.844;2.01
2006-07-11;00:00;94.31;;73.41;91.31;9.869;2.378
2006-07-12;00:00;81.31;;64.76;72.59;6.675;1.036
2006-07-13;00:00;80.42;129.9;75.17;81.51;12.41;2
2006-07-14;00:00;68.2;110;27.72;44.76;;0.8933
2006-07-15;00:00;32.79;83.55;15.62;30.9;;0.3304
2006-07-16;00:00;50;76.68;30.57;42.98;11.95;1.386
2006-07-17;00:00;76.29;112.1;57.55;66.31;12.22;1.795
2006-07-18;00:00;90.69;90.48;28.1;43.69;11.11;0.4629
2006-07-19;00:00;96.83;83.35;30.77;57.28;11.69;0.6879
2006-07-20;00:00;121.2;27.32;47.53;64.98;13.28;2.114
2006-07-21;00:00;112.9;29.75;61.55;79.03;;3.002
2006-07-22;00:00;39.43;88.03;19.63;36.15;;1.767
2006-07-23;00:00;44.62;55.51;39.62;50.31;;2.227
2006-07-24;00:00;99.9;121.2;52.04;95.92;;2.177
2006-07-25;00:00;99.95;;59.57;89.96;15.72;1.774
2006-07-26;00:00;97.05;;35.1;60;12.97;0.6975
2006-07-27;00:00;104.3;82.33;67.02;79.23;14.06;2.069
2006-07-28;00:00;83.34;126.6;72.01;91.79;15.39;3.489
2006-07-29;00:00;33.51;98.83;28.67;58.22;13.2;3.555
2006-07-30;00:00;;63.39;13.77;34.71;8.77;1.531
2006-07-31;00:00;;22.5;27.52;60.31;6.649;2.383
2006-08-01;00:00;100;121.3;63.33;73.49;11.98;2.442
2006-08-02;00:00;39.01;124.4;17.88;37.87;16.64;4.045
2006-08-03;00:00;26.25;111.7;15.79;30.25;15.67;3.025
2006-08-04;00:00;48.96;155.6;22.5;44.92;17.65;2.143
2006-08-05;00:00;50.28;162;32.34;57.35;23.05;1.622
2006-08-06;00:00;68.05;173.4;44.88;84.37;33.59;2.844
2006-08-07;00:00;119.6;181.7;105.7;150.3;51.49;3.842
2006-08-08;00:00;71;137.1;37.49;68.65;19.75;3.636
2006-08-09;00:00;110.3;99.27;40.08;69.62;22.89;2.889
2006-08-10;00:00;102.7;156.3;45.26;82.45;22.98;3.253
2006-08-11;00:00;82.2;178.9;38.76;65.3;23.73;1.883
2006-08-12;00:00;16.56;97.25;14.97;32.16;15.32;2.823
2006-08-13;00:00;16.17;90.63;15.71;30.94;12.28;3.218
2006-08-14;00:00;73.83;51.37;50.6;62.73;10.89;2.234
2006-08-15;00:00;76.91;92.94;116.8;108.2;19.52;2.235
2006-08-16;00:00;70.48;90.85;108.1;90.9;16.24;2.455
2006-08-17;00:00;68.16;149.4;117.4;113;10.98;1.452
2006-08-18;00:00;99.13;226.4;141;159.7;27.28;2.412
2006-08-19;00:00;56.99;109.4;60.68;118.2;23.95;2.639
2006-08-20;00:00;55.63;132.1;50.76;88.94;18.24;2.451
2006-08-21;00:00;121;241.7;78.86;114.8;40.19;1.91
2006-08-22;00:00;56.76;188.1;35.15;66.93;29.75;1.29
2006-08-23;00:00;81.19;167.3;32.8;67.31;23.55;2.047
2006-08-24;00:00;84.13;233.2;35.93;90.99;29.91;2.854
2006-08-25;00:00;122.7;244.2;90.82;135.3;28.31;1.575
2006-08-26;00:00;50.86;173;25.05;78.96;26.16;
2006-08-27;00:00;22.83;119.5;15.64;49.9;20.44;1.665
2006-08-28;00:00;85.26;64.32;81.78;124.3;16.85;1.719
2006-08-29;00:00;75.72;165.2;148.4;156.6;22.11;
2006-08-30;00:00;102.1;216.1;46.04;113.9;38.99;
2006-08-31;00:00;118;170.3;87.43;132.5;22.9;
2006-09-01;00:00;96.85;207.3;144.1;145;16.32;
2006-09-02;00:00;33.88;119.9;85.67;119.8;13.21;
2006-09-03;00:00;37.81;35.61;55.98;89.25;7.093;
2006-09-04;00:00;52.41;124.1;80.32;102.5;10.31;
2006-09-05;00:00;71.53;99.74;88.77;97.62;15.39;
2006-09-06;00:00;90.55;157;;110.1;;
2006-09-07;00:00;82.69;159.2;;92.49;;
2006-09-08;00:00;67.33;98.57;;77.65;;
2006-09-09;00:00;32.08;73.04;;59.36;7.701;
2006-09-10;00:00;57.41;146.3;;86.93;16.36;
2006-09-11;00:00;89.66;194.3;;135.9;26.55;
2006-09-12;00:00;73.54;185.6;;148.7;22.17;
2006-09-13;00:00;70.01;185.1;;179.7;32.12;
2006-09-14;00:00;115.1;237.5;;151.1;44.16;
2006-09-15;00:00;39.34;157.9;;75.8;24.89;1.652
2006-09-16;00:00;54.59;116.6;77.6;102.9;13.77;2.061
2006-09-17;00:00;51.4;146.2;86.18;120.5;15.92;1.908
2006-09-18;00:00;159.4;288.9;124.1;178;56.91;2.087
2006-09-19;00:00;72.95;146;166;152.6;30.56;4.156
2006-09-20;00:00;57.26;112;89.01;90.89;9.643;1.187
2006-09-21;00:00;61.95;144.8;141.5;142.1;20.8;2.914
2006-09-22;00:00;83.33;178.1;146.9;157.5;19.27;3.535
2006-09-23;00:00;28.4;74.18;75.25;110.7;10.72;2.126
2006-09-24;00:00;30.95;96.1;61.01;89.54;10.76;2.326
2006-09-25;00:00;48.07;171.8;;67.73;38.59;2.537
2006-09-26;00:00;97.87;48.36;;99.71;16.53;2.696
2006-09-27;00:00;83.16;84.38;153.6;143.4;16.02;2.82
2006-09-28;00:00;97.39;190.6;145;132;21.38;1.61
2006-09-29;00:00;72.96;185.9;136.9;109.6;18.12;
2006-09-30;00:00;38.85;95.44;22.21;47.41;11.99;
2006-10-01;00:00;39.3;124.4;63.19;78.74;12.05;1.042
2006-10-02;00:00;110.6;103.9;105.4;129.8;29.18;3.856
2006-10-03;00:00;95.76;203.5;165.8;132;34.26;1.75
2006-10-04;00:00;177.7;316.5;134.7;136.6;59.14;3.261
2006-10-05;00:00;104.7;223.6;138.5;124;22.19;1.414
2006-10-06;00:00;75.57;96.44;121.1;129.7;25.27;1.888
2006-10-07;00:00;40.68;32.46;75.03;84.9;7.774;2.112
2006-10-08;00:00;25.21;73.59;46.36;64.87;6.205;0.8691
2006-10-09;00:00;115.5;199.8;118;134.3;31.5;2.321
2006-10-10;00:00;160.6;256.4;131.7;157.7;46.31;3.844
2006-10-11;00:00;89;197.9;28.91;66.98;30.6;1.415
2006-10-12;00:00;145.8;212.2;49.49;195.9;31.18;1.48
2006-10-13;00:00;;282.7;138.2;148.9;62.56;2.312
2006-10-14;00:00;;101.2;71.04;61.72;13.03;1.883
2006-10-15;00:00;;131.2;46.28;83.99;20.6;1.444
2006-10-16;00:00;;218.1;130;147.4;34.25;3.871
2006-10-17;00:00;96.93;188.3;128.7;105.3;22.42;2.085
2006-10-18;00:00;95.56;196.8;40.84;74.66;22.78;1.509
2006-10-19;00:00;45.11;182.4;31.6;72.65;25.78;2.495
2006-10-20;00:00;62.55;84.94;30.28;49.02;18.45;2.377
2006-10-21;00:00;48.24;130.4;81.71;60.79;17.74;2.574
2006-10-22;00:00;39;96.63;61.19;84.9;12;1.483
2006-10-23;00:00;107.1;66.06;130.4;113.9;21.67;2.908
2006-10-24;00:00;111.5;202.7;87.93;101.2;28.37;2.394
2006-10-25;00:00;134.7;174.2;107;93.64;21.01;1.324
2006-10-26;00:00;119.2;126.9;92.33;106;31.52;3.794
2006-10-27;00:00;50.67;84.58;105.6;92.06;13.76;2.372
2006-10-28;00:00;45.99;135.8;62.69;56.86;12.64;1.251
2006-10-29;00:00;72.01;174.6;47.41;61.94;28.44;1.969
2006-10-30;00:00;111.3;215.9;81.93;96.56;26.01;3.328
2006-10-31;00:00;62.78;100;102.4;89.42;18.94;2.487
2006-11-01;00:00;66.14;66.57;42.73;44.52;10.05;1.934
2006-11-02;00:00;123.4;93.87;84.01;97.91;18.53;2.037
2006-11-03;00:00;111.6;184;136.2;98.77;21.64;3.145
2006-11-04;00:00;71.05;101.8;79.73;76.93;17.35;2.597
2006-11-05;00:00;62.51;110.6;53.86;53.17;13.39;1.912
2006-11-06;00:00;97.39;161.4;139.1;92.01;21.07;1.703
2006-11-07;00:00;87.45;194.1;140.4;106.5;31.07;1.641
2006-11-08;00:00;177.7;332.1;180.7;181.2;65.04;3.856
2006-11-09;00:00;148.4;178.2;105.8;122.8;36.11;2.924
2006-11-10;00:00;118.1;172.8;128.4;117;31.53;2.336
2006-11-11;00:00;42.27;56.09;84.68;77.11;8.103;3.457
2006-11-12;00:00;52.9;113.7;49.35;58.09;9.128;1.453
2006-11-13;00:00;124.7;107.4;121.7;98.1;28.75;2.095
2006-11-14;00:00;104.5;100.3;140.2;111.5;22.66;2.472
2006-11-15;00:00;95.29;162;143.3;119;27.57;2.34
2006-11-16;00:00;146.3;66.65;100.7;109;31.01;4.176
2006-11-17;00:00;129.9;90.38;178.2;122.5;30.74;10.36
2006-11-18;00:00;62.6;70.23;107.5;95.94;19.21;7.298
2006-11-19;00:00;29.7;78.49;68;75.5;11.35;2.802
2006-11-20;00:00;112.5;137.2;118.8;113.3;35.83;4.322
2006-11-21;00:00;127.9;28.52;108.1;94.63;14.89;3.161
2006-11-22;00:00;122.3;88.02;183.2;145.5;25.34;5.962
2006-11-23;00:00;132.5;69.46;131.8;123.3;25.92;3.622
2006-11-24;00:00;58.66;94.71;173;160.8;25.72;3.887
2006-11-25;00:00;63.65;36.89;75.5;87.04;12.53;3.977
2006-11-26;00:00;23.95;36.24;52.08;63.77;8.251;1.992
2006-11-27;00:00;90.89;162.6;136.7;128.1;25.84;2.423
2006-11-28;00:00;78.03;143.2;163.3;145.6;34.57;5.157
2006-11-29;00:00;92.5;141.6;135.5;135.3;34.38;6.153
2006-11-30;00:00;74.84;122.9;100.7;95.78;15.77;1.214
2006-12-01;00:00;50.9;86.79;129.3;125.2;23.42;3.105
2006-12-02;00:00;39;71.67;96.62;89.11;17.5;5.208
2006-12-03;00:00;38.93;58.97;78.13;67.69;10.58;2.778
2006-12-04;00:00;56.73;76.17;134.5;133.1;24.16;5.184
2006-12-05;00:00;34.37;41.23;124.1;109;14.9;2.31
2006-12-06;00:00;33.71;63.71;120.4;113.5;18.71;2.487
2006-12-07;00:00;78.04;80.82;152.6;112.6;19.41;2.825
2006-12-08;00:00;55.1;50.8;141.3;114.6;13.97;4.397
2006-12-09;00:00;32.72;;79.21;76.56;12.34;5.31
2006-12-10;00:00;30.02;;74.47;76.2;12.07;2.277
2006-12-11;00:00;34.34;;119.6;98.97;13.08;4.648
2006-12-12;00:00;73.36;74.77;141.7;123.5;24.56;3.076
2006-12-13;00:00;71;119.5;133;112.6;20.85;3.815
2006-12-14;00:00;77.95;93.34;138.9;130.3;19.1;3.017
2006-12-15;00:00;54.9;92.9;95.26;96.1;8.622;1.629
2006-12-16;00:00;37.34;112.1;76.65;79.38;9.652;2.002
2006-12-17;00:00;62.64;150.3;69.49;67.17;13.81;2.662
2006-12-18;00:00;145.7;224.2;155.9;125.7;27.77;2.962
2006-12-19;00:00;126.2;214.1;137.9;135.5;26.44;4.051
2006-12-20;00:00;177;246.2;143.1;130.9;41.55;3.225
2006-12-21;00:00;191;279.9;170.1;164.4;31.15;7.693
2006-12-22;00:00;80.7;150.4;95.29;96.33;16.24;3.316
2006-12-23;00:00;37.55;103.9;61.36;61.62;10.38;2.364
2006-12-24;00:00;24.31;58.86;24.42;31.12;7.414;0.8517
2006-12-25;00:00;37.15;89.83;39.63;49.14;15.24;1.887
2006-12-26;00:00;32.05;83.13;35.61;45.06;8.416;2.36
2006-12-27;00:00;93.07;158;92.8;;14.28;2.985
2006-12-28;00:00;122.2;204.3;104.6;106.5;26.35;1.664
2006-12-29;00:00;124.9;227.7;111.3;125.5;42.51;4.698
2006-12-30;00:00;32.58;35.91;56.81;80.84;11.14;5.574
2006-12-31;00:00;29.75;84.98;44.73;57.91;10.09;1.631
2007-01-01;00:00;20.73;39.99;43.03;47.36;6.891;1.906
2007-01-02;00:00;73.77;131.2;65.64;80.31;11.92;2.022
2007-01-03;00:00;95.27;152.9;100.5;114.7;29.67;3.782
2007-01-04;00:00;44.06;43.53;94.25;117.4;18.13;6.338
2007-01-05;00:00;100.7;142.2;88.1;91.47;21.4;1.985
2007-01-06;00:00;42.8;99.87;67.83;77.27;12.07;3.097
2007-01-07;00:00;32.78;66.34;76.74;73.41;12.53;2.727
2007-01-08;00:00;62.46;49.55;92.96;107.8;15.65;3.677
2007-01-09;00:00;52.51;40.64;105;86.61;14.52;3.204
2007-01-10;00:00;86.18;124.7;101.7;95.44;21.88;4.431
2007-01-11;00:00;116.7;104.9;97.57;103;26.11;2.005
2007-01-12;00:00;122.3;148.2;76.62;91.38;23.88;2.807
2007-01-13;00:00;31.97;64.1;52.29;53.17;10.2;1.483
2007-01-14;00:00;24.43;28.54;33.99;42.54;4.835;1.785
2007-01-15;00:00;79.29;100.8;129.7;113.8;25.17;2.92
2007-01-16;00:00;63.75;94.96;77.62;77;9.695;1.922
2007-01-17;00:00;125.8;134.2;144.6;121.6;29.61;5.076
2007-01-18;00:00;73.39;104;123.6;97.29;17.07;3.081
2007-01-19;00:00;91.77;101.9;52.65;77.18;12.87;1.58
2007-01-20;00:00;55.78;57.26;88.17;42.21;15.2;1.588
2007-01-21;00:00;;61.25;17.18;36.79;9.161;1.498
2007-01-22;00:00;;149.5;102.4;266.1;32.79;2.55
2007-01-23;00:00;115.2;227.5;167.3;138.5;57.33;6.987
2007-01-24;00:00;132.2;184;76.45;134.7;34.02;4.021
2007-01-25;00:00;124.6;189;132;140.2;38.37;4.84
2007-01-26;00:00;94.07;138.9;103.5;122.2;21.16;3.29
2007-01-27;00:00;36.61;58.86;47.31;46.83;8.592;1.482
2007-01-28;00:00;55.94;94.89;55.39;63.77;17.33;5.094
2007-01-29;00:00;137.8;153.5;110.8;111.1;21.1;3.65
2007-01-30;00:00;193.2;189.5;165.4;149.8;41.65;7.471
2007-01-31;00:00;125.3;177.4;99.89;115.8;28.63;3.468
2007-02-01;00:00;158.3;187.6;132.3;127.2;23.18;4.277
2007-02-02;00:00;88.94;139.8;155.5;154.3;30.97;4.783
2007-02-03;00:00;41.61;90.89;66.47;61.69;12.83;1.271
2007-02-04;00:00;73.93;119.6;75.19;85.78;16.67;2.131
2007-02-05;00:00;184.9;244.2;112.3;137.2;51.79;8.591
